date,script,model,time
2019-03-15 20:39:11.16,PartialModelCreator.eol,model.uml,219
2019-03-15 20:59:38.923,PartialModelCreator.eol,model.uml,211
2019-03-15 21:03:56.786,PartialModelCreator.eol,model.uml,422
2019-03-15 21:06:36.733,PartialModelCreator.eol,model.uml,1594
2019-03-15 21:09:12.222,PartialModelCreator.eol,model.uml,1292
2019-03-15 21:10:04.027,PartialModelCreator.eol,model.uml,5645
2019-03-15 21:28:58.605,PartialModelCreator.eol,model.uml,1862
2019-03-15 21:29:06.398,PartialModelCreator.eol,Replication.uml,3744
2019-03-15 21:30:32.134,PartialModelCreator.eol,model.uml,1694
2019-03-15 21:30:39.229,PartialModelCreator.eol,DigitalWatch.uml,4183
2019-03-15 21:30:48.948,PartialModelCreator.eol,Replication.uml,2895
2019-03-15 21:31:00.371,PartialModelCreator.eol,Replication.uml,370726
2019-03-15 21:37:17.517,PartialModelCreator.eol,CarDoorLock.uml,1992
2019-03-15 21:37:25.066,PartialModelCreator.eol,rover.uml,3698
2019-03-15 21:37:34.479,PartialModelCreator.eol,model.uml,6688
2019-03-15 21:37:47.051,PartialModelCreator.eol,DigitalWatch.uml,14324
2019-03-15 21:38:07.092,PartialModelCreator.eol,Replication.uml,9570
2019-03-15 21:59:47.349,PartialModelCreator.eol,Pinger-Ponger.uml,959
2019-03-15 22:00:54.548,PartialModelCreator.eol,Pinger-Ponger.uml,3550
2019-03-15 22:05:20.138,PartialModelCreator.eol,Pinger-Ponger.uml,3228
2019-03-15 22:07:32.587,PartialModelCreator.eol,Pinger-Ponger.uml,3543
2019-03-15 22:08:35.543,PartialModelCreator.eol,model.uml,6030
2019-03-15 22:08:47.173,PartialModelCreator.eol,DigitalWatch.uml,13485
2019-03-15 22:33:51.382,PartialModelCreator.eol,model.uml,6511
2019-03-15 22:36:44.113,PartialModelCreator.eol,model.uml,7369
2019-03-15 22:36:57.237,PartialModelCreator.eol,DigitalWatch.uml,14160
2019-03-15 22:37:17.279,PartialModelCreator.eol,Replication.uml,6911
2019-03-15 22:37:55.652,PartialModelCreator.eol,CarDoorLock.uml,2556
2019-03-15 22:38:03.795,PartialModelCreator.eol,rover.uml,7196
